period_id,year,month,shopping_sales_cny_100m,shoppers_10k,items_10k,tourists_10k,sales_yoy_pct,shoppers_yoy_pct,items_yoy_pct,tourists_yoy_pct,conversion_rate_pct,spend_per_shopper_cny,spend_per_shopper_yoy_pct,items_per_shopper,unit_price_cny,source
2011-04,2011,4,0.183836,0.8501,6.106,,,,,,,2162.518645,,7.182684,301.073878,海口海关/海南省统计局/同花顺iFinD
2011-05,2011,5,1.072785,5.2314,12.9465,,,,,,,2050.665137,,2.474768,828.629328,海口海关/海南省统计局/同花顺iFinD
2011-06,2011,6,0.808941,4.4431,10.472,,,,,,,1820.667282,,2.356913,772.479641,海口海关/海南省统计局/同花顺iFinD
2011-07,2011,7,0.802437,4.2166,12.4448,,,,,,,1903.042238,,2.951383,644.796855,海口海关/海南省统计局/同花顺iFinD
2011-08,2011,8,1.034543,4.9785,15.8185,,,,,,,2078.021633,,3.177363,654.008326,海口海关/海南省统计局/同花顺iFinD
2011-09,2011,9,0.865537,4.3767,14.0696,,,,,,,1977.601184,,3.214659,615.182173,海口海关/海南省统计局/同花顺iFinD
2011-10,2011,10,1.243533,6.2817,20.8361,,,,,,,1979.611761,,3.316952,596.816448,海口海关/海南省统计局/同花顺iFinD
2011-11,2011,11,1.697458,8.331,28.0358,,,,,,,2037.52055,,3.365238,605.461007,海口海关/海南省统计局/同花顺iFinD
2011-12,2011,12,1.997641,9.9923,32.5649,,,,,,,1999.180079,,3.258999,613.4337,海口海关/海南省统计局/同花顺iFinD
2012-01,2012,1,2.275489,11.1868,36.6485,,,,,,,2034.083938,,3.276049,620.89554,海口海关/海南省统计局/同花顺iFinD
2012-02,2012,2,2.875111,13.5987,44.6615,,,,,,,2114.254223,,3.284248,643.756007,海口海关/海南省统计局/同花顺iFinD
2012-03,2012,3,2.192186,11.926,38.7083,,,,,,,1838.156809,,3.245707,566.33482,海口海关/海南省统计局/同花顺iFinD
2012-04,2012,4,1.690685,8.7456,29.8339,,,,,,,1933.183898,,3.411304,566.699396,海口海关/海南省统计局/同花顺iFinD
2012-05,2012,5,1.63898,8.0592,22.6603,,52.778019,54.054364,75.030317,,,2033.675315,-0.828503,2.811731,723.282397,海口海关/海南省统计局/同花顺iFinD
2012-06,2012,6,1.211921,5.5878,17.1144,,49.815804,25.763543,63.430099,,,2168.869645,19.124986,3.062815,708.1294,海口海关/海南省统计局/同花顺iFinD
2012-07,2012,7,1.264923,5.7002,17.3432,,57.635216,35.184746,39.361018,,,2219.085243,16.607251,3.04256,729.348085,海口海关/海南省统计局/同花顺iFinD
2012-08,2012,8,1.532468,6.3518,19.8249,,48.129928,27.584614,25.327307,,,2412.651374,16.103285,3.121147,773.001579,海口海关/海南省统计局/同花顺iFinD
2012-09,2012,9,1.323242,5.8911,18.3782,,52.881118,34.601412,30.623472,,,2246.171683,13.58062,3.119655,720.006421,海口海关/海南省统计局/同花顺iFinD
2012-10,2012,10,2.081384,8.6171,27.9026,,67.376729,37.177834,33.914696,,,2415.41167,22.014413,3.23805,745.946396,海口海关/海南省统计局/同花顺iFinD
2012-11,2012,11,2.707999,10.034,39.1589,,59.532592,20.441724,39.67463,,,2698.823331,32.456251,3.902621,691.541215,海口海关/海南省统计局/同花顺iFinD
2012-12,2012,12,2.83379,10.2906,39.1727,,41.856821,2.985299,20.291172,,,2753.765184,37.744729,3.806649,723.409313,海口海关/海南省统计局/同花顺iFinD
2013-01,2013,1,3.237746,10.6126,41.5994,,42.287922,-5.132835,13.509148,,,3050.850922,49.986481,3.919812,778.315565,海口海关/海南省统计局/同花顺iFinD
2013-02,2013,2,5.068972,14.0093,61.2167,,76.305286,3.019406,37.068168,,,3618.291057,71.137937,4.369719,828.037527,海口海关/海南省统计局/同花顺iFinD
2013-03,2013,3,3.393414,11.8295,47.8114,,54.795898,-0.809156,23.517178,,,2868.602823,56.058657,4.041709,709.749915,海口海关/海南省统计局/同花顺iFinD
2013-04,2013,4,2.386011,8.7271,32.6265,,41.126832,-0.211535,9.360493,,,2734.024613,41.425998,3.738527,731.310628,海口海关/海南省统计局/同花顺iFinD
2013-05,2013,5,2.06451,7.8109,29.247,,25.963141,-3.080951,29.067135,,,2643.114353,29.967372,3.744383,705.887848,海口海关/海南省统计局/同花顺iFinD
2013-06,2013,6,1.677111,6.622,24.4176,,38.384526,18.508179,42.672837,,,2532.635307,16.772131,3.687345,686.845185,海口海关/海南省统计局/同花顺iFinD
2013-07,2013,7,1.694042,6.503,24.1291,,33.92452,14.083716,39.127151,,,2605.016162,17.391442,3.710457,702.074263,海口海关/海南省统计局/同花顺iFinD
2013-08,2013,8,2.163308,7.6361,29.72,,41.164982,20.219465,49.912484,,,2833.001179,17.422733,3.892039,727.896376,海口海关/海南省统计局/同花顺iFinD
2013-09,2013,9,1.996556,6.9791,26.532,,50.883624,18.468537,44.366695,,,2860.763967,27.361768,3.801636,752.508586,海口海关/海南省统计局/同花顺iFinD
2013-10,2013,10,2.645271,8.9437,35.0054,,27.091911,3.790138,25.455692,,,2957.692219,22.450854,3.913973,755.675179,海口海关/海南省统计局/同花顺iFinD
2013-11,2013,11,3.011293,10.1728,39.412,,11.199912,1.383297,0.646341,,,2960.141613,9.682675,3.874253,764.054821,海口海关/海南省统计局/同花顺iFinD
2013-12,2013,12,3.578119,11.8436,45.4281,,26.266236,15.091443,15.968774,,,3021.141756,9.709491,3.835667,787.644531,海口海关/海南省统计局/同花顺iFinD
2014-01,2014,1,4.023177,12.7981,50.332,,24.258583,20.593446,20.99213,,,3143.573937,3.039251,3.932771,799.327935,海口海关/海南省统计局/同花顺iFinD
2014-02,2014,2,7.289883,19.9123,83.8456,,43.813826,42.136295,36.96524,,,3660.995093,1.180227,4.210744,869.441361,海口海关/海南省统计局/同花顺iFinD
2014-03,2014,3,3.829425,13.4372,50.3179,,12.848743,13.5906,5.242474,,,2849.868068,-0.653097,3.744672,761.046212,海口海关/海南省统计局/同花顺iFinD
2014-04,2014,4,2.800423,10.2468,37.3881,,17.368425,17.413574,14.594272,,,2732.973299,-0.038453,3.648759,749.014547,海口海关/海南省统计局/同花顺iFinD
2014-05,2014,5,2.438415,9.1022,33.1239,,18.111059,16.532026,13.255719,,,2678.929105,1.355021,3.639109,736.149683,海口海关/海南省统计局/同花顺iFinD
2014-06,2014,6,2.018972,7.95,28.7182,,20.383898,20.054364,17.612706,,,2539.587069,0.274487,3.612352,703.028644,海口海关/海南省统计局/同花顺iFinD
2014-07,2014,7,2.140817,8.1054,29.4574,,26.373295,24.640935,22.082465,,,2641.222777,1.389881,3.634293,726.750056,海口海关/海南省统计局/同花顺iFinD
2014-08,2014,8,2.464202,9.0663,33.81,,13.908969,18.729456,13.761777,,,2717.979628,-4.06006,3.729195,728.838175,海口海关/海南省统计局/同花顺iFinD
2014-09,2014,9,3.636403,9.4331,38.5018,,82.133791,35.162127,45.114579,,,3854.939235,34.75209,4.081564,944.476032,海口海关/海南省统计局/同花顺iFinD
2014-10,2014,10,3.539457,11.0001,41.4437,,33.803186,22.992721,18.392305,,,3217.659049,8.789516,3.767575,854.039849,海口海关/海南省统计局/同花顺iFinD
2014-11,2014,11,4.14826,13.278,49.917,,37.756774,30.524536,26.654318,,,3124.16019,5.540903,3.759376,831.031492,海口海关/海南省统计局/同花顺iFinD
2014-12,2014,12,4.84244,14.6421,55.5908,539.16,35.334769,23.628795,22.370955,,,3307.202983,9.468646,3.796641,871.086525,海口海关/海南省统计局/同花顺iFinD
2015-01,2015,1,5.546447,16.2539,63.0022,434.24,37.862347,27.002446,25.17325,,,3412.379029,8.550939,3.876128,880.35763,海口海关/海南省统计局/同花顺iFinD
2015-02,2015,2,8.644109,23.263,91.7691,566.41,18.576787,16.827288,9.450108,,,3715.818837,1.497509,3.944852,941.941172,海口海关/海南省统计局/同花顺iFinD
2015-03,2015,3,7.11451,20.2495,78.2898,419.3,85.785351,50.697318,55.590357,,,3513.425107,23.283781,3.866258,908.740368,海口海关/海南省统计局/同花顺iFinD
2015-04,2015,4,4.166799,13.1449,50.2968,366.2,48.791766,28.282976,34.526226,,,3169.897808,15.987149,3.826336,828.442161,海口海关/海南省统计局/同花顺iFinD
2015-05,2015,5,3.58021,11.597,44.0666,380.07,46.825293,27.408758,33.035663,,,3087.186134,15.239561,3.799828,812.454276,海口海关/海南省统计局/同花顺iFinD
2015-06,2015,6,2.870164,9.6297,36.8348,324.29,42.159709,21.128302,28.262913,,,2980.533475,17.362917,3.825124,779.199105,海口海关/海南省统计局/同花顺iFinD
