period_id,year,week,start_date,end_date,group,region,hotel_count,room_count,price_index,heat_index,stay_price_index,stay_heat_index,adr,stay_adr,source
2024W01,2024,1,2024-01-01,2024-01-07,华住,全国,9052,886559,1.11,2.92,1.09,2.85,250.82,245.29,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,华住,全国,9085,889796,1.17,3.28,1.14,3.25,258.99,251.7,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,华住,全国,9114,892542,1.19,3.26,1.17,3.23,266.24,260.34,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,华住,全国,9162,897162,1.2,3.22,1.2,3.23,266.97,263.73,酒店之家
2024W05,2024,5,2024-01-29,2024-02-04,华住,全国,9235,904866,1.23,3.3,1.19,3.22,271.94,260.46,酒店之家
2024W06,2024,6,2024-02-05,2024-02-11,华住,全国,9375,918116,1.31,2.66,1.33,2.71,290.77,294.35,酒店之家
2024W07,2024,7,2024-02-12,2024-02-18,华住,全国,9385,918872,1.25,3.79,1.35,4.19,286.02,307.42,酒店之家
2024W08,2024,8,2024-02-19,2024-02-25,华住,全国,9390,920508,1.09,3.52,1.09,3.65,249.6,247.6,酒店之家
2024W09,2024,9,2024-02-26,2024-03-03,华住,全国,9389,919552,1.19,3.6,1.16,3.59,261,256.11,酒店之家
2024W10,2024,10,2024-03-04,2024-03-10,华住,全国,9411,921676,1.21,3.53,1.2,3.43,273.69,269.63,酒店之家
2024W11,2024,11,2024-03-11,2024-03-17,华住,全国,9409,922333,1.23,3.66,1.22,3.57,278.75,274.88,酒店之家
2024W12,2024,12,2024-03-18,2024-03-24,华住,全国,9413,922987,1.31,3.56,1.29,3.33,287.67,282.43,酒店之家
2024W13,2024,13,2024-03-25,2024-03-31,华住,全国,9454,926953,1.3,3.75,1.3,3.68,296.67,294.1,酒店之家
2024W14,2024,14,2024-04-01,2024-04-07,华住,全国,9473,928970,1.38,4.15,1.36,4.29,296.59,293.43,酒店之家
2024W15,2024,15,2024-04-08,2024-04-14,华住,全国,9492,930602,1.36,4.37,1.33,4.28,307.14,300.58,酒店之家
2024W16,2024,16,2024-04-15,2024-04-21,华住,全国,9516,933307,1.37,4.53,1.39,4.38,313.86,303.87,酒店之家
2024W17,2024,17,2024-04-22,2024-04-28,华住,全国,9582,939532,1.4,4.08,1.36,3.86,312.88,295.72,酒店之家
2024W18,2024,18,2024-04-29,2024-05-05,华住,全国,9675,948860,1.55,4.61,1.71,5.78,347.5,371.11,酒店之家
2024W19,2024,19,2024-05-06,2024-05-12,华住,全国,9685,950466,1.25,3.95,1.24,3.86,278.31,273.2,酒店之家
2024W20,2024,20,2024-05-13,2024-05-19,华住,全国,9701,952408,1.28,3.8,1.29,3.89,288.9,289.03,酒店之家
2024W21,2024,21,2024-05-20,2024-05-26,华住,全国,9727,955018,1.23,3.59,1.23,3.6,277.52,278.4,酒店之家
2024W22,2024,22,2024-05-27,2024-06-02,华住,全国,9756,958236,1.22,3.67,1.22,3.49,273.12,269.78,酒店之家
2024W23,2024,23,2024-06-03,2024-06-09,华住,全国,9791,962155,1.25,3.71,1.3,4.09,282.07,284.83,酒店之家
2024W24,2024,24,2024-06-10,2024-06-16,华住,全国,9816,964544,1.23,3.85,1.22,3.81,274.91,269.74,酒店之家
2024W25,2024,25,2024-06-17,2024-06-23,华住,全国,9847,967499,1.24,3.8,1.24,3.83,283.31,281.03,酒店之家
2024W26,2024,26,2024-06-24,2024-06-30,华住,全国,9860,968758,1.25,3.82,1.23,3.78,285.93,280.52,酒店之家
2024W27,2024,27,2024-07-01,2024-07-07,华住,全国,9910,974630,1.32,3.9,1.33,3.87,296.64,291.67,酒店之家
2024W28,2024,28,2024-07-08,2024-07-14,华住,全国,9954,979123,1.35,4.3,1.4,4.36,309.07,306.22,酒店之家
2024W29,2024,29,2024-07-15,2024-07-21,华住,全国,10008,984604,1.41,4.23,1.43,4.33,314.02,313.58,酒店之家
2024W30,2024,30,2024-07-22,2024-07-28,华住,全国,10048,988901,1.36,4.45,1.42,4.44,311.77,310.74,酒店之家
2024W31,2024,31,2024-07-29,2024-08-04,华住,全国,10108,994376,1.37,4.45,1.43,4.44,314.39,314.37,酒店之家
2024W32,2024,32,2024-08-05,2024-08-11,华住,全国,10158,999179,1.4,4.54,1.49,4.65,320.84,325.95,酒店之家
2024W33,2024,33,2024-08-12,2024-08-18,华住,全国,10198,1002784,1.42,4.5,1.46,4.55,314.57,319.53,酒店之家
2024W34,2024,34,2024-08-19,2024-08-25,华住,全国,10238,1006060,1.34,3.54,1.42,3.84,297.47,309.1,酒店之家
2024W35,2024,35,2024-08-26,2024-09-01,华住,全国,10258,1008452,1.2,3.22,1.27,3.42,273.62,277.8,酒店之家
2024W36,2024,36,2024-09-02,2024-09-08,华住,全国,10281,1011070,1.19,3.35,1.21,3.44,266.81,265.36,酒店之家
2024W37,2024,37,2024-09-09,2024-09-15,华住,全国,10323,1015761,1.18,3.08,1.21,3.2,266.48,265.73,酒店之家
2024W38,2024,38,2024-09-16,2024-09-22,华住,全国,10352,1018764,1.18,3.35,1.16,3.15,268.53,254.4,酒店之家
2024W39,2024,39,2024-09-23,2024-09-29,华住,全国,10432,1026457,1.3,3.33,1.19,2.89,287.95,261.29,酒店之家
2024W40,2024,40,2024-09-30,2024-10-06,华住,全国,10549,1037491,1.44,3.72,1.59,4.69,327.25,349.31,酒店之家
2024W41,2024,41,2024-10-07,2024-10-13,华住,全国,10531,1036533,1.15,3.22,1.14,3.1,257.55,251.1,酒店之家
