period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W02,2017,2,2017-01-02,2017-01-08,全国,全部,,,,,,212.31,,酒店之家
2017W02,2017,2,2017-01-02,2017-01-08,全国,经济型,,,,,,140.06,,酒店之家
2017W02,2017,2,2017-01-02,2017-01-08,全国,中档型,,,,,,218.2,,酒店之家
2017W02,2017,2,2017-01-02,2017-01-08,全国,高档型,,,,,,351.12,,酒店之家
2017W02,2017,2,2017-01-02,2017-01-08,全国,豪华型,,,,,,690.43,,酒店之家
2017W03,2017,3,2017-01-09,2017-01-15,全国,全部,,,,,,222.99,,酒店之家
2017W03,2017,3,2017-01-09,2017-01-15,全国,经济型,,,,,,143.77,,酒店之家
2017W03,2017,3,2017-01-09,2017-01-15,全国,中档型,,,,,,224.7,,酒店之家
2017W03,2017,3,2017-01-09,2017-01-15,全国,高档型,,,,,,363.54,,酒店之家
2017W03,2017,3,2017-01-09,2017-01-15,全国,豪华型,,,,,,730.54,,酒店之家
2017W04,2017,4,2017-01-16,2017-01-22,全国,全部,,,,,,224.29,,酒店之家
2017W04,2017,4,2017-01-16,2017-01-22,全国,经济型,,,,,,144.42,,酒店之家
2017W04,2017,4,2017-01-16,2017-01-22,全国,中档型,,,,,,223.87,,酒店之家
2017W04,2017,4,2017-01-16,2017-01-22,全国,高档型,,,,,,357.57,,酒店之家
2017W04,2017,4,2017-01-16,2017-01-22,全国,豪华型,,,,,,713.32,,酒店之家
2017W05,2017,5,2017-01-23,2017-01-29,全国,全部,,,,,,282.07,,酒店之家
2017W05,2017,5,2017-01-23,2017-01-29,全国,经济型,,,,,,176.35,,酒店之家
2017W05,2017,5,2017-01-23,2017-01-29,全国,中档型,,,,,,264.28,,酒店之家
2017W05,2017,5,2017-01-23,2017-01-29,全国,高档型,,,,,,405.17,,酒店之家
2017W05,2017,5,2017-01-23,2017-01-29,全国,豪华型,,,,,,807.7,,酒店之家
2017W06,2017,6,2017-01-30,2017-02-05,全国,全部,,,,,,284.62,,酒店之家
2017W06,2017,6,2017-01-30,2017-02-05,全国,经济型,,,,,,186.26,,酒店之家
2017W06,2017,6,2017-01-30,2017-02-05,全国,中档型,,,,,,278.82,,酒店之家
2017W06,2017,6,2017-01-30,2017-02-05,全国,高档型,,,,,,415.27,,酒店之家
2017W06,2017,6,2017-01-30,2017-02-05,全国,豪华型,,,,,,855.96,,酒店之家
2017W07,2017,7,2017-02-06,2017-02-12,全国,全部,,,,,,227.58,,酒店之家
2017W07,2017,7,2017-02-06,2017-02-12,全国,经济型,,,,,,148.84,,酒店之家
2017W07,2017,7,2017-02-06,2017-02-12,全国,中档型,,,,,,228.64,,酒店之家
2017W07,2017,7,2017-02-06,2017-02-12,全国,高档型,,,,,,358.53,,酒店之家
2017W07,2017,7,2017-02-06,2017-02-12,全国,豪华型,,,,,,733.04,,酒店之家
2017W08,2017,8,2017-02-13,2017-02-19,全国,全部,,,,,,222.52,,酒店之家
2017W08,2017,8,2017-02-13,2017-02-19,全国,经济型,,,,,,148.74,,酒店之家
2017W08,2017,8,2017-02-13,2017-02-19,全国,中档型,,,,,,229.1,,酒店之家
2017W08,2017,8,2017-02-13,2017-02-19,全国,高档型,,,,,,361.51,,酒店之家
2017W08,2017,8,2017-02-13,2017-02-19,全国,豪华型,,,,,,727.15,,酒店之家
2017W09,2017,9,2017-02-20,2017-02-26,全国,全部,,,,,,222.78,,酒店之家
2017W09,2017,9,2017-02-20,2017-02-26,全国,经济型,,,,,,147.28,,酒店之家
2017W09,2017,9,2017-02-20,2017-02-26,全国,中档型,,,,,,228.72,,酒店之家
2017W09,2017,9,2017-02-20,2017-02-26,全国,高档型,,,,,,362.7,,酒店之家
2017W09,2017,9,2017-02-20,2017-02-26,全国,豪华型,,,,,,722.04,,酒店之家
2017W10,2017,10,2017-02-27,2017-03-05,全国,全部,,,,,,224.33,,酒店之家
2017W10,2017,10,2017-02-27,2017-03-05,全国,经济型,,,,,,148.87,,酒店之家
2017W10,2017,10,2017-02-27,2017-03-05,全国,中档型,,,,,,231.26,,酒店之家
2017W10,2017,10,2017-02-27,2017-03-05,全国,高档型,,,,,,365.08,,酒店之家
2017W10,2017,10,2017-02-27,2017-03-05,全国,豪华型,,,,,,718.56,,酒店之家
2017W11,2017,11,2017-03-06,2017-03-12,全国,全部,,,,,,228.28,,酒店之家
2017W11,2017,11,2017-03-06,2017-03-12,全国,经济型,,,,,,151.01,,酒店之家
2017W11,2017,11,2017-03-06,2017-03-12,全国,中档型,,,,,,234.64,,酒店之家
2017W11,2017,11,2017-03-06,2017-03-12,全国,高档型,,,,,,370.74,,酒店之家
2017W11,2017,11,2017-03-06,2017-03-12,全国,豪华型,,,,,,734.04,,酒店之家
2017W12,2017,12,2017-03-13,2017-03-19,全国,全部,,,,,,231.46,,酒店之家
2017W12,2017,12,2017-03-13,2017-03-19,全国,经济型,,,,,,152.99,,酒店之家
2017W12,2017,12,2017-03-13,2017-03-19,全国,中档型,,,,,,240.24,,酒店之家
2017W12,2017,12,2017-03-13,2017-03-19,全国,高档型,,,,,,377.55,,酒店之家
