year,group,market_share_pct,source
2013,华住酒店集团,9.88,酒店之家/iFinD
2013,格林酒店集团,5.73,酒店之家/iFinD
2013,锦江国际集团,16.58,酒店之家/iFinD
2013,首旅如家酒店集团,16.58,酒店之家/iFinD
2014,东呈集团,1.08,酒店之家/iFinD
2014,华住酒店集团,9.76,酒店之家/iFinD
2014,格林酒店集团,5.04,酒店之家/iFinD
2014,锦江国际集团,10.74,酒店之家/iFinD
2014,首旅如家酒店集团,13.77,酒店之家/iFinD
2015,东呈集团,1.61,酒店之家/iFinD
2015,华住酒店集团,10.73,酒店之家/iFinD
2015,格林酒店集团,5.16,酒店之家/iFinD
2015,锦江国际集团,13.14,酒店之家/iFinD
2015,首旅如家酒店集团,12.38,酒店之家/iFinD
2016,东呈集团,2.13,酒店之家/iFinD
2016,华住酒店集团,11.17,酒店之家/iFinD
2016,格林酒店集团,5.02,酒店之家/iFinD
2016,锦江国际集团,20.31,酒店之家/iFinD
2016,首旅如家酒店集团,12.59,酒店之家/iFinD
2017,东呈集团,2.54,酒店之家/iFinD
2017,华住酒店集团,11.7,酒店之家/iFinD
2017,格林酒店集团,5.88,酒店之家/iFinD
2017,锦江国际集团,20.95,酒店之家/iFinD
2017,首旅如家酒店集团,11.86,酒店之家/iFinD
2018,东呈集团,2.63,酒店之家/iFinD
2018,华住酒店集团,10.19,酒店之家/iFinD
2018,格林酒店集团,5.34,酒店之家/iFinD
2018,锦江国际集团,18.31,酒店之家/iFinD
2018,首旅如家酒店集团,9.33,酒店之家/iFinD
2019,东呈集团,21,酒店之家/iFinD
2019,亚朵集团,26,酒店之家/iFinD
2019,华住酒店集团,35,酒店之家/iFinD
2019,格林酒店集团,6.48,酒店之家/iFinD
2019,锦江国际集团,59,酒店之家/iFinD
2019,首旅如家酒店集团,22,酒店之家/iFinD
2020,东呈集团,25,酒店之家/iFinD
2020,亚朵集团,31,酒店之家/iFinD
2020,华住酒店集团,40,酒店之家/iFinD
2020,格林酒店集团,6.51,酒店之家/iFinD
2020,锦江国际集团,53,酒店之家/iFinD
2020,首旅如家酒店集团,32,酒店之家/iFinD
2021,东呈集团,27.84,酒店之家/iFinD
2021,亚朵集团,35,酒店之家/iFinD
2021,华住酒店集团,48.05,酒店之家/iFinD
2021,格林酒店集团,7.14,酒店之家/iFinD
2021,锦江国际集团,53.34,酒店之家/iFinD
2021,首旅如家酒店集团,37.77,酒店之家/iFinD
2022,东呈集团,3.6,酒店之家/iFinD
2022,亚朵集团,38.79,酒店之家/iFinD
2022,华住酒店集团,14.63,酒店之家/iFinD
2022,格林酒店集团,5.47,酒店之家/iFinD
2022,锦江国际集团,20.38,酒店之家/iFinD
2022,首旅如家酒店集团,8.46,酒店之家/iFinD
2023,东呈集团,32.49,酒店之家/iFinD
2023,亚朵集团,40.95,酒店之家/iFinD
2023,华住酒店集团,55.07,酒店之家/iFinD
2023,格林酒店集团,4.58,酒店之家/iFinD
2023,锦江国际集团,57.56,酒店之家/iFinD
2023,首旅如家酒店集团,43.25,酒店之家/iFinD
2024,东呈集团,29.96,酒店之家/iFinD
2024,亚朵集团,40.09,酒店之家/iFinD
2024,华住酒店集团,55.33,酒店之家/iFinD
2024,格林酒店集团,4.64,酒店之家/iFinD
2024,锦江国际集团,57.98,酒店之家/iFinD
2024,首旅如家酒店集团,44.7,酒店之家/iFinD
2025,东呈集团,30.86,酒店之家/iFinD
2025,亚朵集团,41.8,酒店之家/iFinD
2025,华住酒店集团,58.05,酒店之家/iFinD
2025,格林酒店集团,4.23,酒店之家/iFinD
2025,锦江国际集团,59.58,酒店之家/iFinD
2025,首旅如家酒店集团,47.95,酒店之家/iFinD
