period_id,year,week,start_date,end_date,region,room_band,hotel_count,room_count,chain_hotel_count,chain_room_count,source
2023W48,2023,48,2023-11-20,2023-11-26,全国,30-69间,121212,5317848,16875,849773,酒店之家
2023W48,2023,48,2023-11-20,2023-11-26,全国,70-149间,56694,5469979,25560,2521502,酒店之家
2023W48,2023,48,2023-11-20,2023-11-26,全国,150间及以上,14195,3414787,5906,1457451,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,全部,668580,18941008,52726,4914922,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,15间以下,327050,1698567,1414,13202,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,15-29间,149630,3050093,2937,66649,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,30-69间,121033,5310740,16861,849030,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,70-149间,56673,5467952,25587,2524081,酒店之家
2023W49,2023,49,2023-11-27,2023-12-03,全国,150间及以上,14194,3413656,5927,1461960,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,全部,668344,18991979,52715,4914662,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,15间以下,325570,1703913,1411,13148,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,15-29间,150352,3064461,2924,66402,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,30-69间,121430,5327476,16861,849000,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,70-149间,56791,5479601,25596,2524885,酒店之家
2023W50,2023,50,2023-12-04,2023-12-10,全国,150间及以上,14201,3416528,5923,1461227,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,全部,658801,18987708,52759,4919374,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,15间以下,315483,1681222,1412,13149,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,15-29间,150703,3071342,2939,66761,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,30-69间,121597,5334406,16854,848414,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,70-149间,56808,5481720,25625,2528099,酒店之家
2023W51,2023,51,2023-12-11,2023-12-17,全国,150间及以上,14210,3419018,5929,1462951,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,全部,664200,19031410,52916,4932532,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,15间以下,320432,1702513,1418,13205,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,15-29间,150990,3076418,2951,67024,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,30-69间,121669,5337530,16907,851045,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,70-149间,56878,5487917,25703,2535572,酒店之家
2023W52,2023,52,2023-12-18,2023-12-24,全国,150间及以上,14231,3427032,5937,1465686,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,全部,682545,19050404,53105,4950220,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,15间以下,339000,1728659,1419,13202,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,15-29间,150888,3073711,2955,67132,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,30-69间,121520,5331448,16960,853958,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,70-149间,56905,5491382,25816,2547466,酒店之家
2023W53,2023,53,2023-12-25,2023-12-31,全国,150间及以上,14232,3425204,5955,1468462,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,全部,679689,19027396,53245,4964054,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,15间以下,336417,1719906,1414,13161,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,15-29间,150728,3070283,2962,67304,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,30-69间,121440,5328346,16985,855057,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,70-149间,56901,5489657,25911,2556707,酒店之家
2024W01,2024,1,2024-01-01,2024-01-07,全国,150间及以上,14203,3419204,5973,1471825,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,全部,678537,19065651,53383,4978301,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,15间以下,334495,1722743,1411,13136,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,15-29间,151153,3079167,2967,67431,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,30-69间,121630,5335738,17009,856315,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,70-149间,57030,5501595,26008,2565912,酒店之家
2024W02,2024,2,2024-01-08,2024-01-14,全国,150间及以上,14229,3426408,5988,1475507,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,全部,678098,19102781,53490,4986625,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,15间以下,333219,1725522,1409,13133,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,15-29间,151586,3087808,2978,67679,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,30-69间,121923,5348479,17048,858280,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,70-149间,57134,5511609,26060,2571039,酒店之家
2024W03,2024,3,2024-01-15,2024-01-21,全国,150间及以上,14236,3429363,5995,1476494,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,全部,677681,19140768,53669,4997407,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,15间以下,331892,1728547,1421,13267,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,15-29间,152001,3095939,2994,68014,酒店之家
2024W04,2024,4,2024-01-22,2024-01-28,全国,30-69间,122272,5363979,17113,861657,酒店之家
