数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-04-30T00:00:00Z,0.8501,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-05-31T00:00:00Z,5.2314,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-06-30T00:00:00Z,4.4431,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-07-31T00:00:00Z,4.2166,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-08-31T00:00:00Z,4.9785,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-09-30T00:00:00Z,4.3767,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-10-31T00:00:00Z,6.2817,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-11-30T00:00:00Z,8.331,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2011-12-31T00:00:00Z,9.9923,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-01-31T00:00:00Z,11.1868,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-02-29T00:00:00Z,13.5987,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-03-31T00:00:00Z,11.926,,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-04-30T00:00:00Z,8.7456,928.77,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-05-31T00:00:00Z,8.0592,54.05,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-06-30T00:00:00Z,5.5878,25.76,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-07-31T00:00:00Z,5.7002,35.18,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-08-31T00:00:00Z,6.3518,27.58,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-09-30T00:00:00Z,5.8911,34.6,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-10-31T00:00:00Z,8.6171,37.18,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-11-30T00:00:00Z,10.034,20.44,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2012-12-31T00:00:00Z,10.2906,2.99,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2013-01-31T00:00:00Z,10.6126,-5.13,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2013-02-28T00:00:00Z,14.0093,3.02,,,同花顺iFinD(海口海关)
离岛免税销售,离岛免税购物人次(当月值),S004552711,万人次,月,2013-03-31T00:00:00Z,11.8295,-0.81,,,同花顺iFinD(海口海关)
