公司名称,财报期,子行业,营业收入(亿元),营收同比(%),归母净利润(亿元),归母同比(%),毛利率(%),业绩点评,来源,净利率(%),销售费用率(%),管理费用率(%),财务费用率(%),经营现金流净额(亿元),投资现金流净额(亿元),筹资现金流净额(亿元),总资产(亿元),归母净资产(亿元),资产负债率(%),报告类型
锦江酒店,2023Q1,酒店,146.4938,29.5264,10.0175,691.1379,41.9882,,Wind 万得（报告期累计口径）,8.7184,7.9186,18.7377,4.709,51.6172,11.1094,-35.6949,505.8704,166.7704,65.6818,
锦江酒店,FY2023,酒店,107.9034,-2.547,11.0567,12.1343,41.4756,,Wind 万得（报告期累计口径）,11.9002,7.5001,18.1643,5.5969,34.6888,28.0663,-51.8255,478.7928,169.6882,63.2647,
锦江酒店,2023H1,酒店,140.6298,-4.0029,9.1103,-9.0558,39.524,,Wind 万得（报告期累计口径）,8.137,7.5915,18.1077,5.3358,35.6168,28.4932,-62.4701,461.0997,154.0856,65.9889,
锦江酒店,2024Q1,酒店,29.4158,-8.254,0.3601,-81.0349,31.8453,,Wind 万得（报告期累计口径）,1.7625,6.8353,19.5325,5.5283,6.0281,1.1974,-13.7291,455.0857,154.8676,65.3368,
锦江酒店,2024H1,酒店,65.2635,-5.3058,3.7067,-56.2665,36.2807,,Wind 万得（报告期累计口径）,6.1753,6.797,15.6166,5.0581,13.3121,-4.9709,-25.2254,456.6269,154.7995,65.4349,
锦江酒店,2024Q3,酒店,102.4111,-5.09,7.4606,-32.5238,38.2438,,Wind 万得（报告期累计口径）,7.805,7.0642,14.8864,4.686,27.8976,-19.6334,-36.1964,456.8608,158.41,64.7566,
锦江酒店,2023Q3,酒店,138.1083,-1.793,9.2546,1.5839,38.3762,,Wind 万得（报告期累计口径）,7.1638,7.2859,16.4329,4.5998,33.0135,-20.5655,-32.4168,459.049,160.0453,64.546,
锦江酒店,FY2024,酒店,140.6298,-4.0029,9.1103,-9.0558,39.524,,Wind 万得（报告期累计口径，2026-09-07 重拉校准）,8.137,7.5915,18.28,5.3358,35.6168,28.4932,-62.4701,461.0997,154.0856,65.9889,
锦江酒店,2025Q1,酒店,68.0117,4.2109,5.4509,47.0545,36.9338,,Wind 万得（报告期累计口径）,8.368,7.0427,15.4537,4.0597,21.0265,-4.066,-10.9662,450.4036,159.7188,64.0271,
首旅酒店,2023Q1,酒店,77.9292,53.0959,7.9507,237.8451,38.1173,,Wind 万得（报告期累计口径）,10.4053,6.342,11.1677,5.1418,40.1378,-7.2797,-31.0684,252.4015,111.3582,55.3373,
首旅酒店,FY2023,酒店,58.8875,-0.3705,7.2318,5.6271,39.5929,,Wind 万得（报告期累计口径）,12.4154,7.1385,10.8458,4.5989,26.9981,-8.4697,-16.5983,254.7823,116.1398,53.9449,
首旅酒店,2023H1,酒店,77.5122,-0.5351,8.0631,1.4138,38.3557,,Wind 万得（报告期累计口径）,10.5801,7.4459,10.8033,4.5788,33.7087,-9.8941,-22.6798,248.8518,116.9823,52.4998,
首旅酒店,2024Q1,酒店,17.6541,-4.3374,1.427,18.3654,35.3589,,Wind 万得（报告期累计口径）,9.0699,7.8559,12.9491,4.1796,6.7344,-1.5342,-4.2394,247.9499,118.4065,51.6824,
首旅酒店,2024H1,酒店,36.6093,-1.9312,3.9714,11.0782,38.3323,,Wind 万得（报告期累计口径）,11.4996,8.0396,11.1965,3.9791,15.4649,-0.8711,-14.8112,244.6647,116.9249,51.6129,
首旅酒店,2024Q3,酒店,57.8213,-1.8107,7.547,4.3573,40.7018,,Wind 万得（报告期累计口径）,13.5001,8.3367,10.7274,3.7276,26.308,-7.9425,-18.5113,249.5063,120.5019,51.11,
首旅酒店,2023Q3,酒店,76.068,-1.8633,8.1114,0.5982,39.881,,Wind 万得（报告期累计口径）,10.7047,8.7425,11.2077,3.664,33.1334,-8.6332,-23.2562,243.8909,120.7346,50.1814,
首旅酒店,FY2024,酒店,77.5122,-0.5351,8.0631,1.4138,38.3557,,Wind 万得（报告期累计口径，2026-09-07 重拉校准）,10.5801,7.4459,11.6353,4.5788,33.7087,-9.8941,-22.6798,248.8518,116.9823,52.4998,
首旅酒店,2025Q1,酒店,35.7978,-2.2165,4.4074,10.9774,40.2695,,Wind 万得（报告期累计口径）,13.3798,7.7865,11.5961,3.1519,14.6189,-2.8001,-15.5384,237.4496,120.1163,48.9364,
君亭酒店,2023Q1,酒店,5.3398,56.1627,0.3052,2.6021,39.7375,,Wind 万得（报告期累计口径）,7.9242,8.4308,14.6456,6.1442,2.4485,-1.7449,-2.6141,24.2479,9.7794,59.7552,
君亭酒店,FY2023,酒店,5.0302,31.8443,0.1831,-23.5897,30.8324,,Wind 万得（报告期累计口径）,4.6085,7.2902,11.295,7.1324,1.748,-2.3814,-1.4998,24.5818,9.6708,60.7981,
君亭酒店,2023H1,酒店,6.7585,26.5686,0.252,-17.4319,32.6556,,Wind 万得（报告期累计口径）,4.7502,7.6598,11.679,7.2113,2.6142,-1.3458,-2.1653,25.4734,9.7397,61.82,
君亭酒店,2024Q1,酒店,1.6219,1.2945,0.0286,-38.7002,27.9921,,Wind 万得（报告期累计口径）,2.6203,7.323,11.0046,8.557,0.6307,-0.8106,-0.2678,25.397,9.7683,61.4985,
君亭酒店,2024H1,酒店,3.2641,-1.2384,0.0617,-54.9576,28.1592,,Wind 万得（报告期累计口径）,2.375,7.7562,11.043,8.4279,1.1753,-1.1778,-1.1311,24.4302,9.5097,61.1797,
君亭酒店,2024Q3,酒店,5.0592,0.577,0.099,-45.9225,28.839,,Wind 万得（报告期累计口径）,2.1564,7.6584,10.9794,8.1309,1.9061,-1.2698,-1.6138,24.4099,9.5471,61.1123,
君亭酒店,2023Q3,酒店,6.731,-0.4067,0.2308,-8.3926,31.2889,,Wind 万得（报告期累计口径）,3.7993,7.5446,11.749,7.8885,2.7065,-0.4093,-2.8844,23.3781,8.79,63.0646,
君亭酒店,FY2024,酒店,6.7585,26.5686,0.252,-17.4319,32.6556,,Wind 万得（报告期累计口径，2026-09-07 重拉校准）,4.7502,7.6598,11.679,7.2113,2.6142,-1.3458,-2.1653,25.4734,9.7397,61.82,
君亭酒店,2025Q1,酒店,3.3102,1.4122,0.095,54.0374,32.0604,,Wind 万得（报告期累计口径）,2.905,9.1952,11.7459,7.7025,1.2309,-1.234,-0.8799,23.361,8.8849,62.5832,
中国中免,2023Q1,免税,675.401,24.0797,67.1369,33.4628,31.8192,,Wind 万得（报告期累计口径）,10.7584,13.9485,3.2697,-1.2863,151.2642,-47.1579,-46.2778,788.6941,538.3395,24.9625,
