公告标题,公告日期,板块,状态,公司名称,证券代码,市场,公告类型
2026年半年度报告,2026-08-29T00:00:00Z,酒店,重点,锦江酒店,600754.SH,A股,定期报告
第十一届董事会第十八次会议决议公告,2026-08-29T00:00:00Z,酒店,一般,锦江酒店,600754.SH,A股,董事会决议
2026年半年度报告摘要,2026-08-29T00:00:00Z,酒店,一般,锦江酒店,600754.SH,A股,定期报告
2026年半年度报告,2026-08-29T00:00:00Z,酒店,重点,首旅酒店,600258.SH,A股,定期报告
第九届董事会第二十一次会议决议公告,2026-08-29T00:00:00Z,酒店,一般,首旅酒店,600258.SH,A股,董事会决议
关于召开2026年半年度业绩说明会的公告,2026-08-29T00:00:00Z,酒店,一般,首旅酒店,600258.SH,A股,投关/业绩说明会
关于北京首都旅游集团财务有限公司2026年半年报风险评估报告,2026-08-29T00:00:00Z,酒店,一般,首旅酒店,600258.SH,A股,其他
"2026年度""提质增效重回报""行动方案半年度评估报告",2026-08-29T00:00:00Z,酒店,一般,首旅酒店,600258.SH,A股,其他
2026年半年度报告摘要,2026-08-29T00:00:00Z,酒店,一般,首旅酒店,600258.SH,A股,定期报告
2026年半年度报告,2026-08-29T00:00:00Z,酒店,重点,君亭酒店,301073.SZ,A股,定期报告
第四届董事会第十一次会议决议公告,2026-08-29T00:00:00Z,酒店,一般,君亭酒店,301073.SZ,A股,董事会决议
董事会关于募集资金半年度存放与实际使用情况的专项报告,2026-08-29T00:00:00Z,酒店,一般,君亭酒店,301073.SZ,A股,其他
非经营性资金占用及其他关联资金往来情况汇总表,2026-08-29T00:00:00Z,酒店,一般,君亭酒店,301073.SZ,A股,其他
关于召开2026年第二次临时股东会的通知,2026-08-29T00:00:00Z,酒店,一般,君亭酒店,301073.SZ,A股,股东会相关
2026年半年度报告摘要,2026-08-29T00:00:00Z,酒店,一般,君亭酒店,301073.SZ,A股,定期报告
建议发售以人民币计值的债券公告,2026-09-04T00:00:00Z,酒店,重点,华住集团-S,1179.HK,港股,融资与并购
投资者关系活动记录-2026年第二次经营跟踪交流会,2026-09-01T00:00:00Z,免税,重点,中国中免,601888.SH,A股,投关/业绩说明会
审计委员会会议日期及2026年第二季度及上半年业绩公告日期公告,2026-09-02T00:00:00Z,OTA,重点,携程集团-S,9961.HK,港股,其他
2026年半年度报告,2026-08-25T00:00:00Z,旅游,重点,长白山,603099.SH,A股,定期报告
第五届董事会第十六次会议决议公告,2026-08-25T00:00:00Z,旅游,一般,长白山,603099.SH,A股,董事会决议
