公司名称,证券代码,市场,子行业,最新收盘价,币种,数据日期,上周收盘价,周涨跌额,周涨跌幅%
锦江酒店,600754.SH,A股,酒店,19.59,元,2026-09-08T00:00:00Z,19.59,0,0
首旅酒店,600258.SH,A股,酒店,12.02,元,2026-09-08T00:00:00Z,11.95,0.07,0.59
君亭酒店,301073.SZ,A股,酒店,21.18,元,2026-09-08T00:00:00Z,20.33,0.85,4.18
亚朵集团,ATAT.O,美股,酒店,33.28,美元,2026-09-08T00:00:00Z,34.36,-1.08,-3.14
华住集团-S,1179.HK,港股,酒店,35.2,港币,2026-09-08T00:00:00Z,35.8,-0.6,-1.68
中国中免,601888.SH,A股,免税,54.59,元,2026-09-08T00:00:00Z,54.6,-0.01,-0.02
携程集团-S,9961.HK,港股,OTA,324.2,港币,2026-09-08T00:00:00Z,325.6,-1.4,-0.43
同程旅行,0780.HK,港股,OTA,11.51,港币,2026-09-08T00:00:00Z,12.02,-0.51,-4.24
丽江股份,002033.SZ,A股,旅游,9.44,元,2026-09-08T00:00:00Z,9.14,0.3,3.28
长白山,603099.SH,A股,旅游,39.4,元,2026-09-08T00:00:00Z,38.5,0.9,2.34
海底捞,6862.HK,港股,餐饮,11.38,港币,2026-09-08T00:00:00Z,11.57,-0.19,-1.64
百胜中国,9987.HK,港股,餐饮,341.8,港币,2026-09-08T00:00:00Z,345.6,-3.8,-1.1
九毛九,9922.HK,港股,餐饮,1.11,港币,2026-09-08T00:00:00Z,1.14,-0.02,-1.76
蜜雪集团,2097.HK,港股,茶饮,203,港币,2026-09-08T00:00:00Z,206.2,-3.2,-1.55
古茗,1364.HK,港股,茶饮,24.72,港币,2026-09-08T00:00:00Z,25,-0.28,-1.12
中公教育,002607.SZ,A股,教育,2.13,元,2026-09-08T00:00:00Z,2.03,0.1,4.93
华图山鼎,300492.SZ,A股,教育,24.57,元,2026-09-08T00:00:00Z,24.38,0.19,0.78
行动教育,605098.SH,A股,教育,55.3,元,2026-09-08T00:00:00Z,57.18,-1.88,-3.29
中国东方教育,0667.HK,港股,教育,4.14,港币,2026-09-08T00:00:00Z,4.19,-0.05,-1.19
老凤祥,600612.SH,A股,黄金珠宝,34.71,元,2026-09-08T00:00:00Z,33.8,0.91,2.69
潮宏基,002345.SZ,A股,黄金珠宝,9.58,元,2026-09-08T00:00:00Z,9.67,-0.09,-0.93
周大生,002867.SZ,A股,黄金珠宝,10.78,元,2026-09-08T00:00:00Z,10.88,-0.1,-0.92
老铺黄金,6181.HK,港股,黄金珠宝,393.6,港币,2026-09-08T00:00:00Z,398.4,-4.8,-1.2
豫园股份,600655.SH,A股,黄金珠宝,4.66,元,2026-09-08T00:00:00Z,4.54,0.12,2.64
安克创新,300866.SZ,A股,跨境电商与出海,127.89,元,2026-09-08T00:00:00Z,135.91,-8.02,-5.9
小商品城,600415.SH,A股,跨境电商与出海,12.76,元,2026-09-08T00:00:00Z,13.12,-0.36,-2.74
赛维时代,301381.SZ,A股,跨境电商与出海,22.9,元,2026-09-08T00:00:00Z,23.15,-0.25,-1.08
永辉超市,601933.SH,A股,商超与线下零售,3.36,元,2026-09-08T00:00:00Z,3.16,0.2,6.33
重百集团,600729.SH,A股,商超与线下零售,19.98,元,2026-09-08T00:00:00Z,19.52,0.46,2.36
步步高,002251.SZ,A股,商超与线下零售,4.06,元,2026-09-08T00:00:00Z,3.8,0.26,6.84
科锐国际,300662.SZ,A股,人服,22.55,元,2026-09-08T00:00:00Z,22.45,0.1,0.45
北京人力,600861.SH,A股,人服,13.13,元,2026-09-08T00:00:00Z,13.04,0.09,0.69
