数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店OCC,,%,周,2019-01-06T00:00:00Z,58.35,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-01-06T00:00:00Z,212.58,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-01-06T00:00:00Z,124.0404,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-01-13T00:00:00Z,63.97,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-01-13T00:00:00Z,206.32,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-01-13T00:00:00Z,131.9829,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-01-20T00:00:00Z,64.17,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-01-20T00:00:00Z,209.43,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-01-20T00:00:00Z,134.3912,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-01-27T00:00:00Z,60.84,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-01-27T00:00:00Z,212.19,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-01-27T00:00:00Z,129.0964,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-02-03T00:00:00Z,47.19,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-02-03T00:00:00Z,219.21,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-02-03T00:00:00Z,103.4452,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-02-10T00:00:00Z,54.89,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-02-10T00:00:00Z,315.52,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-02-10T00:00:00Z,173.1889,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-02-17T00:00:00Z,62.4,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-02-17T00:00:00Z,219.76,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-02-17T00:00:00Z,137.1302,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-02-24T00:00:00Z,63.39,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-02-24T00:00:00Z,198.53,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-02-24T00:00:00Z,125.8482,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-03-03T00:00:00Z,64.4,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-03-03T00:00:00Z,201.38,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-03-03T00:00:00Z,129.6887,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-03-10T00:00:00Z,63.97,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-03-10T00:00:00Z,204.86,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-03-10T00:00:00Z,131.0489,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-03-17T00:00:00Z,64.06,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-03-17T00:00:00Z,207.04,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-03-17T00:00:00Z,132.6298,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-03-24T00:00:00Z,64.98,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-03-24T00:00:00Z,209.36,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-03-24T00:00:00Z,136.0421,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-03-31T00:00:00Z,63.69,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-03-31T00:00:00Z,205.82,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-03-31T00:00:00Z,131.0868,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-04-07T00:00:00Z,61.94,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-04-07T00:00:00Z,218.72,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-04-07T00:00:00Z,135.4752,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-04-14T00:00:00Z,64.87,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-04-14T00:00:00Z,207.83,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-04-14T00:00:00Z,134.8193,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-04-21T00:00:00Z,67.92,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-04-21T00:00:00Z,213.39,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-04-21T00:00:00Z,144.9345,,,,酒店之家(STR)
