月份,备注,数据来源,餐饮收入(亿元),餐饮收入同比增速(%),限额以上餐饮(亿元),限额以上同比增速(%)
2023-08,,Wind EDB·国家统计局,4212.1,12.4,1124.9,10.4
2023-09,,Wind EDB·国家统计局,4286.8,13.8,1158.4,12.8
2023-10,,Wind EDB·国家统计局,4799.6,17.1,1204.8,18
2023-11,,Wind EDB·国家统计局,5579.9,25.8,1151.7,24.6
2023-12,,Wind EDB·国家统计局,5405.1,30,1252.5,37.7
2024-01,统计局不单独发布1月数据（1-2月合并发布）,Wind EDB·国家统计局,,,,
2024-02,金额为1-2月合计；同比为1-2月合并口径,Wind EDB·国家统计局,9481.2,12.5,2374.2,12.4
2024-03,,Wind EDB·国家统计局,3964,6.9,1173.8,3.2
2024-04,,Wind EDB·国家统计局,3915.2,4.4,1099.8,0
2024-05,,Wind EDB·国家统计局,4274,5,1215.4,2.5
2024-06,,Wind EDB·国家统计局,4608.5,5.4,1285.8,4
2024-07,,Wind EDB·国家统计局,4403.4,3,1216.5,-0.7
2024-08,,Wind EDB·国家统计局,4351.3,3.3,1240.8,0.4
2024-09,,Wind EDB·国家统计局,4417.4,3.1,1279,0.7
2024-10,,Wind EDB·国家统计局,4952.1,3.2,1321.8,-0.3
2024-11,,Wind EDB·国家统计局,5801.6,4,1296.7,2.5
2024-12,,Wind EDB·国家统计局,5548.5,2.7,1403.2,1.2
2025-01,统计局不单独发布1月数据（1-2月合并发布）,Wind EDB·国家统计局,,,,
2025-02,金额为1-2月合计；同比为1-2月合并口径,Wind EDB·国家统计局,9792,4.3,2618.9,3.6
2025-03,,Wind EDB·国家统计局,4235.5,5.6,1339.6,6.8
2025-04,,Wind EDB·国家统计局,4167,5.2,1229.5,3.7
2025-05,,Wind EDB·国家统计局,4578.2,5.9,1374.2,4.8
2025-06,,Wind EDB·国家统计局,4707.6,0.9,1371.8,-0.4
2025-07,,Wind EDB·国家统计局,4504.1,1.1,1309.1,-0.3
2025-08,,Wind EDB·国家统计局,4495.7,2.1,1352.4,1
2025-09,,Wind EDB·国家统计局,4508.6,0.9,1347.5,-1.6
2025-10,,Wind EDB·国家统计局,5199.3,3.8,1458.8,3.7
2025-11,,Wind EDB·国家统计局,6057,3.2,1380.5,1.2
2025-12,,Wind EDB·国家统计局,5737.5,2.2,1463.2,-1.1
2026-01,统计局不单独发布1月数据（1-2月合并发布）,Wind EDB·国家统计局,,,,
2026-02,金额为1-2月合计；同比为1-2月合并口径,Wind EDB·国家统计局,10264,4.8,2812.6,4.7
2026-03,,Wind EDB·国家统计局,4359.4,2.9,1406.2,2
2026-04,,Wind EDB·国家统计局,4259.8,2.2,1287.4,0.9
2026-05,,Wind EDB·国家统计局,4605.1,0.6,1395.7,-1.7
2026-06,,Wind EDB·国家统计局,4766.5,1.2,1407.6,0.1
2026-07,,Wind EDB·国家统计局,4567.2,1.4,1352,0
